text,sentiment,id
перше блокування нової ради слуги народу заважали виступу геращенко єс оточила трибуну,0,10671
сша розслідують версії смерті газпромівського пропагандиста лесіна,0,34415
волині будинку сталася пожежа дітей загинуло,0,27865
нардепа шухевича ради забрала швидка,0,29122
асад відбив повстанців важливий район алеппо,0,19707
гарячу воду тепло відключили соломянському районі києва,0,22452
клюєва оголосили міжнародний розшук,0,25939
кадирову подарували санаторій окупованій алушті,0,7093
києві світлофорі зіткнулися автомобілі є постраждалий,0,15536
ап сказали зроблять заяву ситуації молдові,0,3127
туреччина закликає російських військових не вимахуватись пзрк,0,14679
дбр порушило провадження можливого зриву операції затримання вагнерівців венедіктова,0,4981
путін запровадив санкції північної кореї,0,32109
пожежа готелі токіо стар донька загиблої австралійки вимагає млн компенсації,0,10976
дії бойовиків маріупольський порт обробив меньше вантажів,0,40318
коваль єс має готовим путін не зупиниться засобах впливу київ,0,7473
польща не приймати біженців мільйон українців міністр,0,11123
автобус українцями потрапив дтп тульській області людей постраждало змі,0,2148
контактна група обговорить пятницю сепаратистами обстріл троїцьким кучма,0,7591
харкові маршрутка врізалася авто патрульних,0,38640
опублікував нову карикатуру теракти парижі,0,18890
позачерговій сесії рада розгляне зміни децентралізації порошенко,0,9315
чс атакували комахи журналістка вела репортаж антимоскітній сітці,0,40552
політ думки складно швидко говорити українською віцепремєр федоров,0,15932
києві час будівельних робіт загинув чоловік,0,36442
каннах коронавірус скасували міжнародну виставку аудіовізуального контенту,0,36005
ізраїль готується повної блокади міст,0,25153
бойовики тричі обстріляли пункт пропуску станиця луганська,0,2896
закарпатті горить чотириповерховий торговий центр,0,28096
фотофакт києві радіоринку стався вибух,0,39949
як коронували терориста захарченка,0,18373
україна стане головною темою раді нато росія,0,39189
залізничній станції одесі згоріли квадратних метрів складів,0,28122
бойовики завершили переформування типом зс росії,0,20120
китаї пожежу шахті загинула людина,0,36697
бойовики добу півсотні разів обстріляли позиції сил ато,0,20115
мешканці донецька повідомляють обстріли,0,27231
справа слідство оприлюднило нову розмову бойовиків,0,33872
вересня фронті російського боку обстріли неподалік міст селищ українського є загиблий,0,1790
млрд грн грошей януковича використали єнін,0,6060
намагалися уточнити свій статус але не білоруські опозиціонери радченков кравцов розповіли відбувалося затримання,0,794
київський дельфінарій відключать каналізації,0,25621
фсб заявила затримання українського агента вибухівкою окупованому криму,0,17795
іспанія пропонує британії спільний суверенітет гібралтаром,0,25271
росії слідчі не дозволили батькам гриба зустрітися сином,0,21124
тихановська не брала участь розробці радикальних планів речниця опозиції підозру слідкому,0,14447
дбр допитує звільнених моряків справі заяві портнова адвокат,0,4973
терористи стягнули алчевськ тисячі бійців одиниць техніки,0,34693
чернівцях автівка вилетіла тротуар жінці зупинці відірвало гомілку,0,16914
києві ледве не згорів підземний паркінг,0,36336
лукашенко проситиме путіна допомогти приборкати кольорову революцію,0,8056
криму поновилися обшуки будинках кримських татар,0,36840
релігійний лідер ірану заборонив ввезення країну британської американської вакцин,0,32491
савченко голодування втратила кг полозов,0,12941
фсб затримала російського військового звинувачує шпигунстві користь україни,0,40046
гривня просіла відкритті міжбанку,0,22812
доба зоні оос обстрілів поранено бійців,0,5384
суд відсторонення супрун ухвалу винести завтра,0,34186
геращенко домагатиметься звільнення суддів виправдали мельника,0,4590
донбасі поранено бійця оос але знищено окупантів,0,8963
зближення путіним суперечить поняттю мирної європи байден,0,6578
як донецьку вибухнули снаряди бойовиків,0,40947
генштаб зсу вивчає бойову готовність російських військ кордонів,0,22518
росіяни обстріляли золоте гранатометів,0,33083
києві районів залишаться гарячої води,0,36055
олімпійський пляж ріо викинуло частини тіла,0,28491
білорусь викликала посла україні порушення авіапростору,0,19912
парубій долю закону реструктуризацію кредитів вирішить регламентний комітет,0,10556
терористи обстріляли пропускний пункт багато мирних людей штаб ато,0,14376
картопля україні подорожчала третину,0,24442
більше житлових новобудов україні є ризикованим найбільше таких одесі києві дослідження,0,19941
українсько американська ракета вивела орбіту вантажний корабель мкс,0,39432
росія ввозить сирії військової техніки вивозить,0,12451
ярош порівняв донбас нацистською німеччиною,0,41065
чугуїв тероризує банда молодиків бейсбольними битками,0,40568
затриманий бійцями ато бойовик відповідав катування військових зсу,0,24652
йдемо ще суддів отримали листи погрозами,0,704
ексглава укравтодору виграв справу назк,0,5658
тіла дітей знайшли місці катастрофи російського літака,0,34747
латвії пенсіонер хотів позбутися іржі машині втопив ямі кока колою,0,36880
центрі києва загорівся офісний центр,0,38710
києві запрацювали камери фіксації порушень пдр водія оштрафували перевищення швидкості,0,36275
представники лднр нервували хамили провокували казанський перше засідання ткг участі переселенців,0,1104
суд заарештував екс керівництво укргазбанку справі розкрадання млн грн,0,13897
канаду накрила серія торнадо будинки зійшли фундаментів,0,25459
латвії хочуть заборонити георгіївські стрічки,0,36883
луганщині загинули волонтерів військових штаб ато,0,9175
польщі рейок зійшов трамвай коморовським фотофакт,0,37669
російський міністр озвучив нинішню ціну газ україни,0,32665
сбу херсонщині викрила підпільне виробництво фальсифікованих антисептиків,0,33334
